Problem Number,Problem Name,Language,Topic,Difficulty,Link,Needs Review,Date Completed,Reflection
0217,"contains-duplicate",python,hash,easy,https://leetcode.com/problems/contains-duplicate/,no,2025-03-07,"I made a hashset and iterated over the array and checked if any element appeared in that hashset again"
0344,"reverse-string",python,two-pointers,easy,https://leetcode.com/problems/reverse-string/,no,2025-03-07,"Use two pointers, a left pointer pointing at index and a right pointer point at the last index then swamped the two each time and then incremented the left pointer then decremented the right one until they reached an equal point"
0771,"jewels-and-stones",python,hash,easy,https://leetcode.com/problems/jewels-and-stones/,yes,2025-03-07,"I made a hashset then iterated over the string stones then checked if stones was in that hashset and then if it was I incremented the counter by 1"
0226,"invert-binary-tree",python,binary-tree,easy,https://leetcode.com/problems/invert-binary-tree/,no,2025-03-07,"I traveresed through the left subtree, then the right subtree and then swapped each node"
0704,"binary-search",python,binary-search,easy,https://leetcode.com/problems/binary-search/,no,2025-03-07,"Binary search algorithm..."
0242,"valid-anagram",python,hash,easy,https://leetcode.com/problems/valid-anagram/,yes,2025-03-07,"I used a counter from collections to intialize the dictionary and count the frequencies of each string, then after that i checked if dictionaries are equal to each other by iterating through the first dictionary then checking if the key in the first dictionary is not in the dictioanry 2 or if the values are not equal that would let us know if any of the values or keys dont match and they dont then we know its false"
0125,"valid-palindrome",python,two-pointers,easy,https://leetcode.com/problems/valid-palindrome/,yes,2025-03-07,"I first checked for the edge case if the len(s) is 1 then we can return true, then I decided to take a two pointers approach since I have to check if the characters in the string are not alphanumeric and then skipped the ones that arent then i checked if the char from the left side and right side of the pointer are equal to each other and if its not I returned false then I incremented and decremented both pointers to go through the loop and if the loop terminates we know they are equal"
0167,"two-sum-ii-input-array-is-sorted",python,two-pointers,medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,no,2025-03-07,"Since the array is sorted I used a two pointers approach, if the numbers[left] and numbers[right] is greater than the target value we know since its sorted we have to decrease the right pointer to decrease the amount otherweise we increase the left pointer if the its smaller than the target number"
0049,"group-anagrams",python,hash,medium,https://leetcode.com/problems/group-anagrams/,yes,2025-03-07,"I made a dictionary of lists then sorted each word then appended the word to the sorted word and group them then return a list of lists"
0001,"two-sum",python,hash,easy,https://leetcode.com/problems/two-sum/,yes,2025-03-08,"Use a hashmap find the diff between the number and target and check if its in the hashmap"
0141,"linked-list-cycle",python,linked-list,easy,https://leetcode.com/problems/linked-list-cycle/,no,2025-03-09,"Intialize two pointers slow and fast and then checked if they were both equal and if there were theres a cycle if not theres no cycle"
